,Kezelés,Helyrajzi és albetétszám,Cím,Lépcsőház,Emelet,Ajtó,Besorolási kategória,Negyed,2022szept_állapot,2023nov_állapot,Mőszaki állapot,Terület,Épületen belüli fekvés,Ü/Nü dátum,Tárgyhó KK,Mérőóra fajták,Aljogcím,Meddig,Aktuális hó bérleti / használati díj,Éves bérleti és / vagy használati díj
0,Társasház,34753/A/1,Alföldi u. 10,,Pi.,TR,4,Népszínház negyed,Üres,Üres,Közepes állapotú,54.0,UDP,11/20/2006,12714.0,"áram, gáz",,,0.0,0.0
1,Társasház,34748/A/2,Alföldi u. 3,,Pi.,2.,4,Népszínház negyed,Üres,Üres,Rossz állapotú,55.0,UCP,10/27/2005,11730.0,,,,0.0,0.0
2,Társasház,34747/A/1,Alföldi u. 5,M. lp.,Pi.,1.,4,Népszínház negyed,Üres,Üres,Közepes állapotú,132.0,UCP,11/10/2008,64155.0,víz,,,0.0,0.0
3,Társasház,34747/A/2,Alföldi u. 5,M. lp.,Pi.,2.,4,Népszínház negyed,Üres,Üres,Rossz állapotú,62.0,UCP,1/15/2020,30160.0,"áram, víz",,,0.0,0.0
4,Társasház,38840/1/A/1,Asztalos S. u. 7,,Pi./Fsz.,UZ,4,Százados negyed,Üres,Üres,Rossz állapotú,155.0,UCH+UCP,5/29/2020,38674.0,gáz,,,0.0,0.0
6,Társasház,38841/1/A/14,Asztalos S. u. 8,,Pi.,14.,4,Százados negyed,Üres,Üres,Rossz állapotú,127.0,UDP,12/4/2007,20034.0,,,,0.0,0.0
8,Társasház,35026/A/2,Auróra u. 10,,Pi.,2.,3,Csarnok negyed,Üres,Üres,Rossz állapotú,39.0,UCP,10/18/2005,12996.0,"gáz, víz",,,0.0,0.0
16,Társasház,35028/A/3,Auróra u. 6,,Fsz.,ÜZ/3,3,Csarnok negyed,Kiadott,Üres,Jó állapotú,23.0,UCH,12/5/2016,10925.0,"áram, víz",,,30071.0,365663.0
17,Társasház,35028/A/41,Auróra u. 6,,Pi.,1.,3,Csarnok negyed,Üres,Üres,Közepes állapotú,41.0,UCP,7/20/2007,29151.0,,,,0.0,0.0
19,Társasház,34780/A/1,Auróra u. 7,,Pi.,1.,3,Csarnok negyed,Üres,Üres,Rossz állapotú,50.0,UCP,1/1/2000,16345.0,,,,0.0,0.0
24,Társasház,34830/A/2,Bacsó B. u. 22,,Pi.,UZ/2,3,Csarnok negyed,Üres,Üres,Rossz állapotú,40.0,UCP,10/31/2008,72600.0,"áram, víz",,,0.0,0.0
27,Társasház,36192/1/A/1,Balassa u. 1,,as.,UZ,3,Losonci negyed,Üres,Üres,Rossz állapotú,20.0,UCP,3/31/2021,9500.0,"áram, víz",,,0.0,0.0
30,Társasház,34598/A/1,Baross tér 3,,Pi.,1.,2,Népszínház negyed,Üres,Üres,Rossz állapotú,39.0,UDP,11/26/2008,17512.0,víz,,,0.0,0.0
34,Társasház,35507/A/27,Baross u. 102,,Pi.,27.,1,Magdolna negyed,Üres,Üres,Rossz állapotú,103.0,UDP,1/1/2000,24196.0,,,,0.0,0.0
36,Társasház,35810/A/1,Baross u. 105,,Pi.,RA/1,1,Losonci negyed,Üres,Üres,Rossz állapotú,31.0,UDP,1/1/2000,11220.0,víz,,,0.0,0.0
37,Társasház,35810/A/7,Baross u. 105,,Fsz.,UZ,1,Losonci negyed,Üres,Üres,Rossz állapotú,41.0,UCH+UCP,1/23/2014,10608.0,"áram, víz",,,0.0,0.0
43,Társasház,35503/A/31,Baross u. 110,,Pi.,OV/1,1,Magdolna negyed,Üres,Üres,Rossz állapotú,116.0,UCP,2/25/2015,34800.0,,,,0.0,0.0
47,Társasház,35491/A/39,Baross u. 112,,Pi.,OV/1,1,Magdolna negyed,Üres,Üres,Rossz állapotú,106.0,UDP,2/25/2015,37583.0,víz,,,0.0,0.0
