,Unnamed: 0,Kezelés,Helyrajzi és albetétszám,Cím,Lépcsőház,Emelet,Ajtó,Besorolási kategória,Negyed,2022szept_állapot,2023nov_állapot,Mőszaki állapot,Terület,Épületen belüli fekvés,Ü/Nü dátum,Tárgyhó KK,Mérőóra fajták,Aljogcím,Meddig,Aktuális hó bérleti / használati díj,Éves bérleti és / vagy használati díj,lat,lon
0,0,Társasház,34753/A/1,Alföldi u. 10,,Pi.,TR,4,Népszínház negyed,Üres,Üres,Közepes állapotú,54.0,UDP,11/20/2006,12714.0,"áram, gáz",,,0.0,0.0,47.4946416,19.0808438
4,4,Társasház,38840/1/A/1,Asztalos S. u. 7,,Pi./Fsz.,UZ,4,Százados negyed,Üres,Üres,Rossz állapotú,155.0,UCH+UCP,5/29/2020,38674.0,gáz,,,0.0,0.0,47.4958758,19.1007602
6,8,Társasház,35026/A/2,Auróra u. 10,,Pi.,2.,3,Csarnok negyed,Üres,Üres,Rossz állapotú,39.0,UCP,10/18/2005,12996.0,"gáz, víz",,,0.0,0.0,47.4939173,19.0764901
10,24,Társasház,34830/A/2,Bacsó B. u. 22,,Pi.,UZ/2,3,Csarnok negyed,Üres,Üres,Rossz állapotú,40.0,UCP,10/31/2008,72600.0,"áram, víz",,,0.0,0.0,47.4941494,19.0723656
11,27,Társasház,36192/1/A/1,Balassa u. 1,,as.,UZ,3,Losonci negyed,Üres,Üres,Rossz állapotú,20.0,UCP,3/31/2021,9500.0,"áram, víz",,,0.0,0.0,47.4849465,19.0813848
12,30,Társasház,34598/A/1,Baross tér 3,,Pi.,1.,2,Népszínház negyed,Üres,Üres,Rossz állapotú,39.0,UDP,11/26/2008,17512.0,víz,,,0.0,0.0,47.499175,19.079825
13,34,Társasház,35507/A/27,Baross u. 102,,Pi.,27.,1,Magdolna negyed,Üres,Üres,Rossz állapotú,103.0,UDP,1/1/2000,24196.0,,,,0.0,0.0,47.4891873,19.0812053
31,78,Társasház,36492/A/58,Bródy S. u. 36,,Te.,PDL/2,1,Palotanegyed,Üres,Üres,Közepes állapotú,58.0,UDH (emeleti),11/15/2005,23760.0,,,,0.0,0.0,47.49314039999999,19.0676095
57,133,Társasház,35097/A/10,Bauer S. u. 10,,Fsz.,UZ/4,3,Magdolna negyed,Üres,Üres,Jó állapotú,49.05,UCH,4/30/2021,8929.0,"áram, gáz, víz",,,0.0,0.0,47.4931026,19.0808658
69,148,Társasház,34829/A/25,Bérkocsis u. 18,,Pi.,UZ/1,3,Csarnok negyed,Üres,Üres,Rossz állapotú,239.0,UCP,10/31/2008,29500.0,"áram, gáz, víz",,,0.0,0.0,47.4938922,19.0725739
74,169,Társasház,34606/A/8,Berzsenyi u. 8,,Fsz.,IR/2,4,Népszínház negyed,Üres,Üres,Rossz állapotú,36.0,-,2/9/2010,19734.0,,,,0.0,0.0,47.4982815,19.0794843
75,170,Társasház,34651/A/1,Bezerédj u. 10,,Pi.,UCP 1,4,Népszínház negyed,Üres,Üres,Rossz állapotú,86.0,UCP,1/20/2017,23220.0,"áram, gáz, víz",,,0.0,0.0,47.4968295,19.0738783
85,190,Társasház,38798/2/A/1,Bíró L. u. 6,,Pi.,IR,3,Tisztviselőtelep,Üres,Üres,Rossz állapotú,69.0,UDP,1/3/2017,11172.0,"áram, víz",,,0.0,0.0,47.4842655,19.0938663
86,191,Társasház,36235/2/A/1,Bókay J. u. 50,,as.,UZ,3,Corvin negyed,Üres,Üres,Közepes állapotú,44.0,UCP,1/1/2000,22620.0,,,,0.0,0.0,47.4852602,19.078855
95,211,Társasház,36673/A/21,Rökk Sz. u. 19,,Fsz.,IR,2,Palotanegyed,Kiadott,Üres,Közepes állapotú,64.0,UDH (földszinti),10/15/2012,46763.0,"áram, gáz, víz",,,0.0,92364.0,47.4887489,19.084543
98,214,Társasház,36541/A/1,Szentkirályi u. 5,,Pi.,UZ/1,3,Palotanegyed,Üres,Üres,Közepes állapotú,64.0,UCP,6/3/2013,23232.0,áram,,,0.0,0.0,47.4943129,19.0644998
100,219,Társasház,36395/A/1,Corvin köz 4,,Pi.,MU,1,Corvin negyed,Üres,Üres,Rossz állapotú,139.0,UCP,12/31/2014,30580.0,"áram, gáz, víz",,,0.0,0.0,47.4865152,19.0709968
101,221,Társasház,36785/3/A/1,Csepreghy u. 3,,Pi.,RA/1,3,Palotanegyed,Üres,Üres,Rossz állapotú,146.0,UCP,1/1/2000,33580.0,víz,,,0.0,0.0,47.4882599,19.0692824
102,223,Társasház,35912/A/27,Csobánc u. 4,,Pi.,1.,4,Orczy negyed,Üres,Üres,Rossz állapotú,54.0,UCP,4/16/2012,19080.0,áram,,,0.0,0.0,47.4885834,19.0884438
108,230,Társasház,34664/A/2,Csokonai u. 12,,Pi.,2.,3,Népszínház negyed,Üres,Üres,Rossz állapotú,35.0,UCP,10/31/2011,20415.0,víz,,,0.0,0.0,47.4961636,19.0725527
109,233,Önkormányzati bérház,35305/A/2,Dankó u. 17,,as,2.,4,Magdolna negyed,Üres,Üres,Rossz állapotú,24.0,UDH (földszinti),10/13/2011,0.0,gáz,,,0.0,0.0,47.4906251,19.0824735
124,250,Társasház,38760/A/6,Delej u. 32,,as.,3.,3,Tisztviselőtelep,Üres,Üres,Rossz állapotú,20.0,UDH (földszinti),12/17/2009,1400.0,,,,0.0,0.0,47.482427,19.0959234
126,263,Önkormányzati bérház,34953//0,Déri M. u. 11,,as.,UCP 2,2,Csarnok negyed,Üres,Üres,Rossz állapotú,54.0,UCP,1/1/2000,0.0,áram,Bérlő,határozatlan ideig,41114.0,493368.0,47.4927666,19.0750415
131,277,Társasház,36068/A/1,Diószegi S. u. 13,,Pi.,ÜZ/1,4,Orczy negyed,Üres,Üres,Közepes állapotú,49.0,UCP,4/24/2009,24300.0,áram,,,0.0,0.0,47.4868213,19.0887102
150,299,Társasház,35380/A/2,Dobozi u. 11,,Fsz.,ÜZ,4,Magdolna negyed,Üres,Üres,Rossz állapotú,20.0,UCH,1/17/2019,15246.0,áram,,,0.0,0.0,47.4925726,19.086018
174,332,Önkormányzati bérház,36057//0,Dugonics u. 14,,Fsz.,UCH,4,Orczy negyed,Üres,Üres,Rossz állapotú,14.0,UCH,12/28/2009,0.0,,,,0.0,0.0,47.4862461,19.088179
183,343,Társasház,34990/A/4,Fecske u. 10,,Fsz.,ÜZ/2,3,Csarnok negyed,Kiadott,Üres,Közepes állapotú,26.0,UCH,10/27/2016,22860.0,"áram, gáz",,,0.0,95151.0,47.4941351,19.0756716
194,359,Társasház,34594/A/1,Fiumei út 7,,as./Fsz.,ÜZ/1,3,Népszínház negyed,Üres,Üres,Közepes állapotú,566.0,UCH,9/2/2020,115940.0,"áram, gáz, víz",,,0.0,0.0,47.4987558,19.0803447
196,364,Önkormányzati bérház,35685//0,Futó u. 27,,Fsz.,10.,2,Corvin negyed,Üres,Üres,Közepes állapotú,29.0,UDH (földszinti),10/19/2020,0.0,"áram, víz",,,0.0,0.0,47.4872456,19.0744979
